"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20"
"158" "ASC1" "GO:0001403" "GO:0017148" "GO:0007186" "GO:0010255" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"159" "ASE1" "GO:0000226" "GO:0007109" "GO:0051255" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"160" "ASF1" "GO:0006351" "GO:0006325" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"161" "ASH1" "GO:0006366" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"162" "ASI1" "GO:0006511" "GO:0071230" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"163" "ASI2" "GO:0071230" "GO:0006511" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"164" "ASI3" "GO:0006511" "GO:0071230" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"165" "ASK1" "GO:0000226" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"166" "ASK10" "GO:0034599" "GO:0090372" "GO:0044257" "GO:0045944" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"167" "ASM4" "GO:0031990" "GO:0006999" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"168" "ASP3-1" "GO:0006995" "GO:0006530" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"169" "ASP3-2" "GO:0006995" "GO:0006530" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"170" "ASP3-3" "GO:0006995" "GO:0006530" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"171" "ASP3-4" "GO:0006995" "GO:0006530" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"172" "ASR1" "GO:0045471" "GO:0016567" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"173" "AST1" "GO:0006886" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"174" "ATC1" "GO:0030003" "GO:0007121" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"175" "ATF1" "GO:1900619" "GO:0006113" "GO:0044419" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"176" "ATF2" "GO:1900619" "GO:0009636" "GO:0008202" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"177" "ATG1" "GO:0006468" "GO:0006914" "GO:0032258" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"178" "ATG10" "GO:0006464" "GO:0006914" "GO:0032258" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"179" "ATG11" "GO:0034613" "GO:0006914" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"180" "ATG12" "GO:0006501" "GO:0006914" "GO:0032258" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"181" "ATG13" "GO:0034613" "GO:0006914" "GO:0032147" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"182" "ATG14" "GO:0006914" "GO:0032258" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"183" "ATG15" "GO:0030397" "GO:0006914" "GO:0006624" "GO:0034496" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"184" "ATG16" "GO:0006914" "GO:0032258" "GO:0006501" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"185" "ATG17" "GO:0006914" "GO:0032147" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"186" "ATG18" "GO:0007034" "GO:0006624" "GO:0006914" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"187" "ATG19" "GO:0032258" "GO:0031503" "GO:0016485" "GO:0016050" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"188" "ATG2" "GO:0006914" "GO:0032258" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"189" "ATG20" "GO:0016482" "GO:0006914" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"190" "ATG21" "GO:0006914" "GO:0034613" "GO:0016050" "GO:0006497" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"191" "ATG23" "GO:0034613" "GO:0006914" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"192" "ATG26" "GO:0016125" "GO:0032120" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"193" "ATG27" "GO:0006914" "GO:0034613" "GO:0016050" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"194" "ATG29" "GO:0006914" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"195" "ATG3" "GO:0006914" "GO:0006501" "GO:0032258" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"196" "ATG31" "GO:0006914" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"197" "ATG34" "GO:0031503" "GO:0006461" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"198" "ATG4" "GO:0016485" "GO:0006914" "GO:0006605" "GO:0006464" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"199" "ATG5" "GO:0006914" "GO:0032258" "GO:0006501" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"200" "ATG7" "GO:0006914" "GO:0006464" "GO:0032258" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"201" "ATG8" "GO:0016482" "GO:0006914" "GO:0061025" "GO:0034629" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"202" "ATG9" "GO:0006914" "GO:0051260" "GO:0034613" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"203" "ATH1" "GO:0005993" "GO:1901701" "GO:0071497" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"204" "ATM1" "GO:0006879" "GO:0055085" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"205" "ATO2" "GO:0015696" "GO:0019740" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"206" "ATO3" "GO:0055085" "GO:0015696" "GO:0019740" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"207" "ATP11" "GO:0033615" "GO:0007005" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"208" "ATP14" "GO:0015986" "GO:0042407" "GO:0033615" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"209" "ATP18" "GO:0015986" "GO:0006461" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"210" "ATP19" "GO:0035786" "GO:0015986" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"211" "ATP20" "GO:0015986" "GO:0035786" "GO:0042407" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
